Filename,Scene,CD,Chamfer-L1,Chamfer-L2,NC,F-Score,F1-0.005,F1-0.01,F1-0.02
01.ply,01,0.00813223778948387,0.01039827470850875,0.00813223778948387,0.8119559740201407,0.8104800598931007,0.3437080692394677,0.8104800598931007,0.9541613147352014
04.ply,04,0.004730170459445061,0.006155539651021252,0.004730170459445061,0.9556041290768328,0.9769283671067445,0.5817288692230367,0.9769283671067445,0.9889596577627695
05.ply,05,0.0030938787686346464,0.0042664707854121586,0.0030938787686346464,0.9701814222072589,0.9922042977938584,0.8505158000987632,0.9922042977938584,0.9972878785113732
08.ply,08,0.005889228195988795,0.008011828342044733,0.005889228195988795,0.7919616914973171,0.9229573385836142,0.5882523747598891,0.9229573385836142,0.9707637341430151
09.ply,09,0.0039489734148648,0.005480179305618197,0.0039489734148648,0.8181948295584885,0.9393873766628901,0.7540791796680746,0.9393873766628901,0.9878728661653221
11.ply,11,0.003567989215063707,0.005107920469298647,0.003567989215063707,0.9185397441109996,0.9603738766334129,0.8860561329553716,0.9603738766334129,0.9920771888355777
12.ply,12,0.0038127606811539164,0.005508089214001626,0.0038127606811539164,0.9269302445275218,0.9435713343807363,0.8594205083134291,0.9435713343807363,0.9893333592076006
